Year/Measure,#737 E,#737 W,Plot 8-3 E,Plot 8-3 W,Plot 8-1 E,Plot 8-1 W,Plot 4-2 E,Plot 4-2 W,Tree 4-1 E,Tree 4-1 W,Tree 4-3 E,Tree 4-3 W,Tree 4-4 E,Tree 4-4 W,Tree 9-1 E,Tree 9-1 W,Tree 9-1 N,Tree 9-2 E,Tree 9-2 W,Tree 9-2 N,Tree 4-3 E,Tree 4-3 W,9-3 N,9-4 E,9-4 W,9-4 N,9-5 E,9-5 W,9-5 N,3-2 E,3-2 W,3-3 E,3-3 W,3-4 E,3-4 W,3-5 E,3-5 W,8-2 E,8-2 W,#753 E,# 753 W,3-6 E,3-6 W,3-1 E,3-1 W
2001,0.87,1.23,4.2,4.47,3.05,2.81,0.95,1.31,1.99,1.25,3.09,0.86,2.02,1.64,1.24,0.44,1.02,1.07,1.49,1.38,1.88,2.04,2.78,0.67,1.2,0.87,1.29,3.4,2.07,2.37,1.16,1.12,0.59,1.87,1.09,1.36,2.38,1.07,1.66,2.12,2.48,1.13,0.64,1.33,0.95
2000,1.03,1.43,4.51,3,2.73,3.15,1,1.12,1.13,1.48,3,1.08,1.81,1.17,1.25,0.59,1.14,1.2,1.89,1.09,2.59,1.22,0.96,0.57,0.83,0.84,3.59,0.82,2.34,2.62,0.94,1.28,0.75,2.98,1,1.68,1.34,1.04,1.79,2.95,3.24,1.98,1.4,1.77,1.2
1999,0.72,1.46,2.64,2.81,2.68,2.75,1.8,1.2,1.19,0.87,3.15,1.1,1.57,1.21,1.61,0.53,1.03,2.56,3.03,1.83,3.72,0.93,1.16,0.65,0.7,0.61,1.84,1.62,3,2.74,1.39,1.26,0.64,1.44,0.7,1.12,1.73,1.23,1.33,3.2,2.31,2.13,1.46,1.18,2.4
1998,0.4,0.98,2.81,2.86,3.48,2.71,1.81,1.85,1.39,0.81,2.35,1.27,2.2,0.99,2.32,0.74,1.16,1.94,2.6,2.93,3,1.01,1.33,1.43,0.73,0.39,3.36,1.29,0.87,2.8,1.72,0.9,0.75,1.52,0.82,1.63,1.35,1.64,1.49,4.28,1.6,2.07,1.27,1.94,3.1
1997,1.26,1.77,4.9,4.02,3.68,3.61,1.73,1.54,1.61,1.38,2.3,1.72,2.43,1.26,1.73,0.61,1.47,1.4,1.19,1.61,3.24,1.65,1.73,0.92,0.34,0.78,3.45,1.51,1.73,2.4,1.38,0.82,0.69,1.94,1.39,1.94,1.08,1.84,2.33,2.96,2.46,3.84,1.72,2.04,3.69
1996,1.45,1.92,5.13,4.17,2.69,4,2.03,1.66,1.42,1.66,2.73,1.94,2.12,1.46,2.35,0.52,1.33,1.98,1.64,1.71,2.5,2.12,1.93,0.87,0.68,0.67,2.37,0.57,2.22,1.52,1.53,0.71,0.7,1.99,1.42,1.9,1.62,1.7,1.26,4.17,2.87,4.34,1.51,1.59,2.54
1995,1.23,1.48,5.67,5.3,3.93,3.14,2.22,1.86,1.06,1.48,2.08,1.88,1.82,1.93,2.22,0.62,1.66,1.97,3.07,2.44,3.32,2.66,2.64,1.96,0.95,0.61,4.22,1.61,2.72,1.22,0.94,0.67,1.08,2.06,1.69,1.53,1.54,1.49,0.75,3.86,3.03,4.75,1.34,2.43,2.96
1994,1.49,2.29,6.17,6.31,5.59,5.96,1.28,1.44,0.93,1.69,2,1.43,1.25,1.34,1.95,0.72,1.61,2.59,3.34,1.48,4.15,2.04,2.85,1.17,1.44,0.62,2.53,1.94,2.32,1.46,1.24,1.04,0.96,2.46,1.32,3.18,2.02,1.74,1.11,5.93,4.41,5.34,0.78,2.55,3.92
1993,2.06,2.1,4.51,6.99,4.12,5.14,1.59,1.82,1.35,1.5,1.99,1.39,1.28,1.68,2.07,0.77,0.95,2.44,2.8,1.53,4.22,2.19,2.48,0.89,1.1,0.64,0.7,2.66,2.95,2.69,1.22,1.54,0.91,1.44,1.1,1.72,1.33,2.17,1.1,4.46,3.07,5.24,0.87,1.55,2.93
1992,2.61,1.96,4.49,,3.18,4.45,1.65,2.5,1.08,2.08,1.8,1.73,2.33,2.13,2.04,0.53,1.72,2.71,2.03,1.7,3.06,0.85,1.96,0.65,0.82,0.83,1.11,3.84,1.66,1.99,1.26,1.56,0.78,2.2,1.83,2.18,0.56,2.61,1.06,2.07,2.65,6.02,1.04,1.78,1.24
1991,1.77,1.28,,,3.65,5.19,2.85,2.17,1.07,1.28,1.41,1.48,2.54,1.61,3.12,0.44,2.24,2.09,1.39,3.33,3.17,0.58,1.23,0.73,0.68,1.04,2.09,2.16,1.42,1.92,1.19,1.88,0.88,3.13,1.8,3.2,0.66,3.91,1.77,4.19,2.26,6.32,0.79,3.03,1.79
1990,2.11,1.45,,,4.35,9.07,1.9,2.64,0.8,1.58,1.15,1.51,2.04,1.76,1.99,0.58,1.91,1.51,3.75,2.94,2.81,1.33,0.43,1.01,0.88,1.12,2.71,1.38,4.42,1.69,1.32,1.54,1.16,2.7,2.17,3.44,0.88,4.4,1.64,4.1,3.79,8.7,0.78,2.92,1.92
1989,2.35,1.46,,,5.1,,1.39,1.45,0.57,1.64,1.36,1.17,1.3,1.92,1.49,1.2,1.7,0.76,1.77,1.81,1.41,1.58,1.6,2.22,0.72,2.38,1.69,1.13,1.18,2.13,1.45,2,1.24,3.3,2.21,2.48,0.93,3.74,2.17,6.23,3.94,10.31,0.92,1.52,2.34
1988,2.15,1.33,,,4,,1.43,1.15,0.36,1.42,1.42,1.29,1.43,2.22,1.31,0.77,1.59,1.28,1.23,1.4,1.51,1.76,0.85,1.06,0.51,0.95,3.11,1.94,0.76,1.81,1.28,2.41,1.29,2.84,1.38,2.03,0.9,2.02,2.13,4.67,5.07,12.11,0.56,2.06,2.07
1987,1.55,1.97,,,4.69,,2.12,1.48,0.69,1.37,0.97,1.4,1.92,1.47,1.28,1.21,2.27,1.66,2.07,0.97,2.17,2.54,1.61,1.04,1.03,0.81,2.22,2.51,1.35,2.65,1.26,1.98,1.18,2.91,1.18,1.5,0.63,1.9,1.54,,3.28,13.51,0.67,1.43,1.03
1986,2.12,1.8,,,3.43,,2.46,1.8,0.78,1.08,1.01,1.81,1.82,1.98,2.13,0.54,1.22,1.48,1.94,0.99,3,1.49,2.95,1.4,1.15,0.92,2.57,1.46,2.8,1.61,1.61,3.08,1.51,2.36,1.39,1.37,0.67,2.19,3.3,,4.05,,0.74,0.97,0.82
1985,1.84,2.71,,,,,1.43,1.46,1.25,1.47,1.25,1.51,1.8,1.53,2.66,0.59,2.27,2.33,3.54,1.75,2.55,2.11,1.82,1.77,1.49,0.94,2.28,2.22,3.44,1.92,1.09,3.24,1.23,2.87,1.26,1.85,0.63,2.89,2.48,,5.61,,0.75,1.32,0.69
1984,2.5,3.44,,,,,1.67,1.01,0.68,1.03,1.29,2.1,1.55,1.55,1.87,1.07,1.65,2.53,3.27,3.39,3.22,2.41,2.09,1.61,2.73,0.81,2.92,1.8,2.18,2.53,0.91,3.22,1.36,2.56,1.38,1.43,0.47,3.3,1.78,,6.59,,0.68,1.78,0.7
1983,2.07,2.03,,,,,2.3,1.16,0.84,0.97,1.23,1.77,2.01,1.37,2.29,1.15,2.07,4.27,4.46,2.07,2.66,3.59,2.47,3.27,2.13,0.65,2.78,1.84,2.01,2.29,1.55,3.42,1.49,2.54,1.26,1.38,0.73,2.24,2.37,,2.5,,0.79,3.64,0.85
1982,1.93,2.03,,,,,2.7,1.14,0.99,1.8,1.19,2.27,2.82,1.16,2.83,0.94,3.16,3.22,2.7,2.58,2.99,2.36,2.58,2.34,2.04,1.06,1.99,1.24,2.48,1.98,1.25,2.9,1.27,2.93,1.21,1.3,1.04,3.03,3.46,,3.35,,0.61,3.07,1.13
1981,2.32,2.2,,,,,2.07,1.62,0.83,1.48,1.34,1.63,3.13,1.79,3.62,1.26,2.37,4.65,2.76,1.97,3.68,2.69,3.37,2.72,0.61,1.19,1.23,2.35,1.82,2.36,0.94,2.73,1.48,2.74,1.37,1.23,1.29,2.6,2.19,,4.16,,0.57,2.81,1.22
1980,2.2,3.09,,,,,2.85,1.7,0.74,1.52,2.35,1.39,2.04,1.83,2.23,1.31,2.28,3.16,2.25,2.64,3.28,2.73,3.07,3.44,1.3,1.32,2.96,1.09,1.67,2.69,0.81,2.16,1.59,3.28,1.2,1.26,1.05,2.4,1.94,,4.54,,0.5,3.31,1.8
1979,3.13,3.12,,,,,3.42,1.41,1.62,0.8,2.02,2.04,3.01,1.68,3.63,1.18,2.02,2.36,2.88,2.25,3.02,4.29,3.57,2.43,2.48,1.82,1.24,1.51,2.98,1.95,1.18,2.02,2.03,2.08,1.31,1.03,1.02,1.47,1.15,,6.28,,0.8,3,2.6
1978,3.1,4.11,,,,,2.38,2.3,1.99,1.5,2.2,2.11,2.79,1.43,2.83,1.36,3.85,1.67,1.78,2.82,3.55,2.22,1.31,2.67,2.77,1.67,3.71,2.26,1.81,1.47,1.23,2.06,2.58,2.28,1.57,1.08,1.76,1.5,1.72,,7.73,,1.25,1.42,3.78
1977,4.5,5.06,,,,,1.68,1.93,2.04,2.22,2.17,1.65,3.18,1.54,3.2,0.92,3.88,2.43,3.73,3.41,1.25,3.11,3.14,3.65,1.64,2.09,5.4,3.39,1.74,1.92,0.84,2.4,2.4,2.02,1.21,1.19,1.85,1.64,1.74,,5.88,,0.85,1.04,4.64
1976,4.34,5.22,,,,,1.9,1.86,2.31,2.25,2.25,1.52,4.19,1.7,3.67,1.43,3.56,2.99,5.49,3.12,2.85,4.32,3.16,3.56,2.57,2.28,5.12,3.97,2.59,1.64,1.18,2.74,3.4,2.13,1.42,1.54,1.88,1.44,1.61,,5.84,,1.43,0.99,7.18
1975,6.31,5.71,,,,,2.72,1.99,1.38,2.48,1.91,2.07,3.68,1.61,2.48,1.29,4.35,5.76,4.63,3.2,3.34,2.63,3.8,3.82,3.91,2.02,5.43,3.27,4.02,1.38,1.06,2.21,2.68,2.01,1.38,1.46,0.97,1.06,1.92,,6.8,,0.96,0.98,5.86
1974,6.14,5.06,,,,,2.5,2.45,1.92,2.51,1.78,2.49,4.9,3.1,4.41,1.48,7.97,3.72,3.68,3.07,4.91,3.18,4.49,5.14,3.68,2.15,4.74,2.24,4.49,1.63,0.97,2.05,2.46,2.02,1.19,2.17,1.3,1.15,1.9,,,,1.01,1.11,6.86
1973,10.66,8.2,,,,,2.21,2.72,1.53,1.2,1.81,2.32,3.2,3.02,3.65,1.73,4,3.66,5.17,1.97,4.12,3.44,3.02,5.21,4.29,2.05,5.32,2.48,3.6,1.1,0.94,1.32,2.79,1.75,1.49,2.72,1.34,1.5,1.46,,,,0.98,1.06,7.54
1972,15.03,7.46,,,,,2.82,2.37,1.43,1.62,2.4,2.17,3.36,2.33,4.69,1.79,5.57,4.74,5,2.96,4.16,2.95,3.63,4.67,3.62,2.37,2.45,3.15,3.32,0.94,1.15,1.08,2.62,2.31,1.28,1.52,2.02,1.19,1.37,,,,0.72,0.97,8.76
1971,,8.4,,,,,3.9,3.09,1.95,1.21,2.99,2.55,3.55,3.56,5.73,1.56,6.52,5.35,5.97,3.59,3.56,3.35,3.59,2.75,3.23,2.81,4.13,4.36,4.97,1.31,1.06,1.31,2.5,2.48,0.93,1.43,1.91,1.11,1.48,,,,0.93,0.76,10.13
1970,,12.6,,,,,3.77,3.16,2.13,1.8,2.32,2.31,4.36,2.7,5.62,2.22,6.67,4.07,,4.43,4.48,2,2.72,5.44,5.37,2.79,,6.07,4.35,1.13,1.41,1.27,3.44,2.73,1.02,1.96,2.38,1.07,1.95,,,,0.88,0.82,10.68
1969,,8.41,,,,,4.89,3.33,2.52,2.54,2.55,2.14,5.67,2.18,5.68,1.8,10.33,6.56,,4.81,3.53,3.2,4.65,5.29,4.39,4.64,,3.03,3.75,1.03,0.76,1.3,2.92,2.39,0.88,2.64,1.46,1.06,1.44,,,,1.79,0.94,
1968,,,,,,,3.37,3.16,2.94,2.33,1.6,1.93,6.75,2.37,10.73,2.36,17.72,0.91,,5.62,,3.35,2.32,4.62,4.68,4.07,,4.03,7.83,1.83,0.82,1.41,1.96,2.5,1.1,3.5,1.57,1.55,1.17,,,,1.59,0.9,
1967,,,,,,,3.07,3.25,2.01,2.43,1.76,1.49,3.96,2.45,,2.7,,2.63,,3.88,,3.03,3.41,6.25,5.94,2.68,,3.9,1.66,1.89,1.01,1.36,1.83,2.33,1.26,3.16,2.14,2.34,1.65,,,,3.45,1.39,
1966,,,,,,,2.69,2.78,2.44,2.92,1.74,1.92,4.31,3.2,,2.41,,5.47,,,,5.52,5.05,6.15,6.17,4.04,,3.19,3.43,2.04,0.99,2.51,1.49,2.43,1.51,2.57,2.16,1.12,1.16,,,,3.21,1.1,
1965,,,,,,,2.98,3.14,2.05,2.34,2.45,2.27,4.37,4.45,,3.36,,4.83,,,,,3.28,,6.92,3.62,,3.6,6.61,2.56,1.04,2.53,1.46,1.77,1.07,1.95,2.41,0.77,1.71,,,,4.43,1.65,
1964,,,,,,,3.77,2.93,1.84,2.05,2.8,3.16,7.23,3.78,,4.36,,4.42,,,,,5.89,,9.34,3.37,,4.34,4.74,3.11,1.3,3.59,1.55,1.84,0.96,1.78,1.84,0.98,1.58,,,,4.88,2.35,
1963,,,,,,,4.9,3.8,2.24,2.35,4.58,4.82,,3.44,,3.02,,5.73,,,,,,,11.25,4.98,,4.98,4.14,2.99,1.31,3.61,1.43,1.61,1.06,2.57,2.57,0.88,1.38,,,,5.22,2.61,
1962,,,,,,,5.48,4.4,2.77,2.85,3.55,4.35,,2.48,,,,6.87,,,,,,,9.23,4.8,,7.55,5.59,4.6,1.37,11.09,1.61,1.97,1.39,2.23,3.28,1.31,1.52,,,,5.33,3.34,
1961,,,,,,,5.69,4.71,3.63,3.13,3.69,5.93,,2.36,,,,2.97,,,,,,,,4.24,,,5.53,3.71,2.24,8.45,2.7,1.76,1.7,2.9,2.51,1.61,1.48,,,,5.28,5.97,
1960,,,,,,,7.12,6.3,4.73,3.69,5.08,5.6,,2.42,,,,,,,,,,,,6.45,,,6.02,4.77,2.39,,2.77,1.69,1.23,2.51,3.44,2.3,1.67,,,,5.67,5.71,
1959,,,,,,,8.27,6.25,4.05,3.18,5.57,5.54,,2.82,,,,,,,,,,,,6.67,,,,3.64,2.92,,3.3,2.42,2.06,7.45,4.07,3.68,2.18,,,,9.28,6.05,
1958,,,,,,,10,8.04,4.86,4.74,5.72,5.26,,2.86,,,,,,,,,,,,7.23,,,,5.68,2.73,,4.96,3.84,2.13,,4.51,3.92,2.17,,,,13.43,5.98,
1957,,,,,,,17.1,8.89,5.52,8.22,7.17,6.88,,2.79,,,,,,,,,,,,5.53,,,,6.13,4.17,,4.35,4.89,2.64,,3.86,4.51,1.73,,,,,6.02,
1956,,,,,,,,11.04,6.53,5.74,8.13,7.13,,3.81,,,,,,,,,,,,7.49,,,,6.99,4.11,,3.93,5.48,4.2,,4.23,8.51,1.42,,,,,7.01,
1955,,,,,,,,,5.39,6.75,10.02,9.38,,4.08,,,,,,,,,,,,,,,,8.09,2.89,,3.55,7.23,4.25,,4.36,,1.2,,,,,11.25,
1954,,,,,,,,,6.38,9.39,12.85,11.55,,3.88,,,,,,,,,,,,,,,,8.4,4.74,,4.06,5.52,3.87,,5.37,,0.85,,,,,19.71,
1953,,,,,,,,,7.95,10.19,15.86,11.91,,5.78,,,,,,,,,,,,,,,,8.71,5.24,,4.67,6.91,4.06,,6.68,,0.78,,,,,,
1952,,,,,,,,,7.62,14.34,,12.09,,6.33,,,,,,,,,,,,,,,,,5.78,,5.84,5.26,3.33,,6.4,,0.72,,,,,,
1951,,,,,,,,,8.41,13.39,,,,,,,,,,,,,,,,,,,,,7.37,,,11.21,2.65,,5.12,,0.91,,,,,,
1950,,,,,,,,,9.12,,,,,,,,,,,,,,,,,,,,,,12.58,,,,4.8,,6.88,,1.51,,,,,,
1949,,,,,,,,,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,1.89,,,,,,
1948,,,,,,,,,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,8.79,,,,1.56,,,,,,
1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,,,,1.87,,,,,,
1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,,,,1.26,,,,,,
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,,,,0.96,,,,,,
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49,,,,1.08,,,,,,
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,,
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,
